InvoiceId,OrderDate,CustomerName,ShipPostalCode,ShipCity,ShipState,ShipCountry,ShipMode,BalanceDue,SubTotal,DiscountPercent,DiscountAmount,ShippingAmount,InvoiceTotal,OrderId,ProductName,SubCategory,Category,ProductId,Quantity,UnitPrice,ItemSubTotal
20212,2025-10-05,Elina Virtanen,65706,Munich,Bavaria,Germany,Same Day,1852.17,1935.41,0.05,96.77,13.53,1852.17,GE-2013-EL5152562-47546,"Wireless Mouse, Ergonomic",Accessories,Technology,TEC-AC-6277,2.0,63.7802,127.56
20012,2023-03-08,Bruce Degenhardt,75613,San Francisco,California,United States,Second Class,9564.55,11905.51,0.2,2381.1,40.14,9564.55,UN-2016-BR2785277-44889,"USB-C Charger 65W, GaN",Accessories,Technology,TEC-AC-7434,5.0,22.8194,114.1
20113,2025-09-25,Aisha Khan,28072,Helsinki,Uusimaa,Finland,Same Day,1178.64,1226.44,0.075,91.98,44.18,1178.64,FI-2015-AI8151684-41768,"Wireless Headset, Noise Cancelling",Accessories,Technology,TEC-AC-5402,4.0,118.7862,475.14
20194,2024-04-18,Elina Virtanen,45537,Hanoi,Hanoi,Vietnam,Standard Class,2605.68,2587.34,0.0,0.0,18.34,2605.68,VI-2013-EL2832517-49614,"Ergonomic Task Chair, Mesh Back",Chairs,Furniture,FUR-CH-2525,4.0,224.0595,896.24
20236,2014/02/30,Aaron Bergman,9942,Valencia,Valencian Community,Spain,Standard Class,3339.98,3478.48,0.05,173.92,35.42,3339.98,SP-2015-AA9230960-43737,"Bookshelf, Industrial Metal/Wood",Bookcases,Furniture,FUR-BO-7046,5.0,460.8478,2304.24
20134,2024-11-11,Bruce Degenhardt,87518,Ho Chi Minh City,Ho Chi Minh,Vietnam,First Class,404.17,393.44,0.05,19.67,30.4,404.17,VI-2014-BR9511700-41215,"A4 Lever-Arch Binder, 5cm Spine (Blue)",Binders,Office Supplies,OFF-BI-1040,1.0,9.3093,9.31
20171,2024-03-08,Sofia Müller,36353,Madrid,Madrid,Spain,First Class,2853.19,2988.56,0.05,149.43,14.06,2853.19,SP-2012-SO9692311-42507,"Steel File Cabinet, 3-Drawer",Storage,Office Supplies,OFF-ST-6869,1.0,350.5305,350.53
20000,2024-09-15,Nguyen Minh Anh,39371,Berlin,Berlin,Germany,Second Class,3184.58,3435.49,0.075,257.66,6.75,3184.58,GE-2012-NG2458591-49674,"Premium Sketch Paper Pad, A4 120gsm",Art,Office Supplies,OFF-AR-4568,4.0,21.1466,84.59
20033,2023-12-30,Corey Catlett,36804,Tampere,Pirkanmaa,Finland,First Class,8259.55,8676.84,0.05,433.84,16.55,8259.55,FI-2014-CO7117837-40653,"Archive Storage Box, Letter Size",Storage,Office Supplies,OFF-ST-5399,3.0,18.7385,56.22
20043,2024-02-12,Daniel Romero,47196,Da Nang,Da Nang,Vietnam,Standard Class,812.47,763.11,0.0,0.0,49.36,812.47,VI-2012-DA4940441-45085,"A4 Lever-Arch Binder, 5cm Spine (Blue)",Binders,Office Supplies,OFF-BI-9967,10.0,3.3059,33.06
